SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_AR16_CAN | designator | AR16 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR16_NAM | designator | AR16 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR17_CAN | designator | AR17 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR17_NAM | designator | AR17 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR18_NAM | designator | AR18 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR19_CAN | designator | AR19 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR19_NAM | designator | AR19 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR22_CAN | designator | AR22 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR22_NAM | designator | AR22 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR23_NAM | designator | AR23 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR24_NAM | designator | AR24 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR25_CAN | designator | AR25 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR28_CAN | designator | AR28 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR29_CAN | designator | AR29 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR3_NAM | designator | AR3 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR30_CAN | designator | AR30 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR32_CAN | designator | AR32 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR33_CAN | designator | AR33 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR36_CAN | designator | AR36 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR37_CAN | designator | AR37 | desene_uymayan_kod_name_alanina_yazildi
