code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
RW26,EUROCONTROL NMOC,14,14,dp_other,"MAPT,RW26 MAPT,MAPT GPS RWY26,RW26"
W,AUSTRO CONTROL GMBH,14,14,dp_other,"W (LOAV),WHISKEY (LOWZ),WHISKEY (LOLW),W (LOIH),WHISKEY (LOGG),W (LOAB),W (LOAR),WHISKEY (LOGK),WHISKEY (LOGT),W (LOGO),W (LOIR),WHISKEY (LOKL),W (LOLG),WHISKEY (LOWS)"
AP1,EUROCONTROL NMOC,13,13,dp_other,"ANGIE AP 1,GRETCHEN AP 1,GRETCHEN LOW AP 1,JOJO AP 1,KIM LONG AP 1,KIM SHORT AP 1,SAXON AP 1,VIRGIN AP 1,JANIN AP 1,TINA AP 1,MERLE AP 1,NELE AP 1,LUCA AP1"
AP2,EUROCONTROL NMOC,13,13,dp_other,"GRETCHEN AP 2,GRETCHEN LOW AP 2,JOJO AP 2,KIM LONG AP 2,KIM SHORT AP 2,ANGIE AP 2,SAXON AP 2,VIRGIN AP 2,JANIN AP 2,TINA AP 2,MERLE AP 2,NELE AP 2,LUCA AP2"
RW01,NAV CANADA,13,13,dp_adhp,RW01
RW08,EUROCONTROL NMOC,13,13,"dp_icao,dp_other","RW08,MAPT,MAPT GPS RWY08"
TP1,EUROCONTROL NMOC,13,13,dp_other,"TP R265 MUN,SID27 6.0 DME MND,ANGIE TP 1,GRETCHEN TP 1,GRETCHEN LOW TP 1,JOJO TP 1,SAXON TP 1,VIRGIN TP 1,JANIN TP 1,TINA TP 1,MERLE TP 1,NELE TP 1,LUCA TP1"
S,AUSTRO CONTROL GMBH,12,12,dp_other,"SIERRA (LOWK),SIERRA (LOWI),SIERRA (LOWS),S (LOAV),SIERRA (LOWL),SIERRA (LOWZ),S (LOIH),S (LOAB),SIERRA (LOGG),SIERRA (LOGK),SIERRA (LOGT),S (LOLG)"
RW01,EUROCONTROL NMOC,11,11,dp_other,RW01
RW03,EUROCONTROL NMOC,11,11,dp_other,"RW03,MAPT MM 1.2 DME FHH,MAPT RW03,MAPT"
RW19,NAV CANADA,11,11,dp_adhp,RW19
ARC08,NAV CANADA,10,10,dp_adhp,"ARC08,ARC01"
E,AUSTRO CONTROL GMBH,10,10,dp_other,"E (LOAN),E (LOAV),ECHO (LOWZ),ECHO (LOLW),ECHO (LOGG),E (LOIR),E (LOGO),ECHO (LOKL),O (LOLG),E"
RW19,EUROCONTROL NMOC,10,10,dp_other,RW19
RW21,EUROCONTROL NMOC,10,10,dp_other,"MAPT RW21,MAPT,RW21"
RW06,EUROCONTROL NMOC,9,9,dp_other,"MAPT RWY 06,MAPT GPS RWY06,MAPT RNAV (GPS) RWY06,THR RW 06,MAPT RW06,RW06"
RW30,EUROCONTROL NMOC,9,9,dp_other,"MAPT,RW30"
SAN,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,9,9,dp_other,"SAN MIGUEL BAY,SAN PABLO,SAN MIG,SAN ENRIQUE,SANTO NINO,SAN JOSE,SANTANDER,SAN ROQUE DAM"
N,AUSTRO CONTROL GMBH,8,8,dp_other,"NOVEMBER (LOWZ),N (LOAB),NOVEMBER (LOGG),N (LOAR),N (LOAG),NOVEMBER (LOGT),NOVEMBER (LOGK),N (LOLG)"
RW12,EUROCONTROL NMOC,8,8,dp_other,RW12
RW14,EUROCONTROL NMOC,8,8,dp_other,"RW14,MAPT"
