SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | DesignatedPoint(VFR) | LT_VRP_AKGOL | name | AKGÖL -> AKGOL | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_POLIS_OKULU | name | POLİS OKULU -> POLIS OKULU | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KORFEZ | name | KÖRFEZ -> KORFEZ | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_GEDIZ | name | GEDİZ -> GEDIZ | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_GEDIKLER | name | GEDİKLER -> GEDIKLER | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KIZILHISAR | name | KIZILHİSAR -> KIZILHISAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KARAAGAC | name | KARAAĞAÇ -> KARAAGAC | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_SIVASLI | name | SİVASLI -> SIVASLI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_CIVRIL | name | ÇİVRİL -> CIVRIL | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_ORTAKOY | name | ORTAKÖY -> ORTAKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KIZILOREN | name | KIZILÖREN -> KIZILOREN | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_AKGUN | name | AKGÜN -> AKGUN | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_DINAR | name | DİNAR -> DINAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_GONEN | name | GÖNEN -> GONEN | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_GUMUSGUN | name | GÜMÜŞGÜN -> GUMUSGUN | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_SENIRCE | name | SENİRCE -> SENIRCE | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KULEONU | name | KULEÖNÜ -> KULEONU | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_BUYUKGOKCELI | name | BÜYÜKGÖKÇELİ -> BUYUKGOKCELI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_EGIRDIR | name | EĞİRDİR -> EGIRDIR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_ILYAS | name | İLYAS -> ILYAS | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_YARIKOY | name | YARIKÖY -> YARIKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_CENDIK | name | CENDİK -> CENDIK | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_BELEVI | name | BELEVİ -> BELEVI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_YONCAKOY | name | YONCAKÖY -> YONCAKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_CAMLIK | name | ÇAMLIK -> CAMLIK | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KUSADASI | name | KUŞADASI -> KUSADASI | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_BOGAZ | name | BOĞAZ -> BOGAZ | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_BIGA | name | BİGA -> BIGA | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_DARULACEZE | name | DARÜLACEZE -> DARULACEZE | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_DIKILI1 | name | DİKİLİ1 -> DIKILI1 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_DIKILI2 | name | DİKİLİ2 -> DIKILI2 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_EZINE1 | name | EZİNE1 -> EZINE1 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_EZINE2 | name | EZİNE2 -> EZINE2 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_GOKCEALI | name | GÖKÇEALİ -> GOKCEALI | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_HISAR | name | HİSAR -> HISAR | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_KORIDOR1 | name | KORİDOR1 -> KORIDOR1 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_KUCUKCEKMECE | name | KÜÇÜKÇEKMECE -> KUCUKCEKMECE | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SAHIL | name | SAHİL -> SAHIL | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SAHIL1 | name | SAHİL1 -> SAHIL1 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SAHIL2 | name | SAHİL2 -> SAHIL2 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SAHIL3 | name | SAHİL3 -> SAHIL3 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SIVRICE1 | name | SİVRİCE1 -> SIVRICE1 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SIVRICE2 | name | SİVRİCE2 -> SIVRICE2 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_SIVRICE3 | name | SİVRİCE3 -> SIVRICE3 | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_YENIBOSNA | name | YENİBOSNA -> YENIBOSNA | ascii_ye_cevrildi
WARNING | Route(VFR) | LT_RTE_VFR_INCEGIZ | name | İNCEĞİZ -> INCEGIZ | ascii_ye_cevrildi
ERROR | RouteSegment(VFR) | LT_RS_VFR_0196 | reverseTrueTrack | - | hatali_alan_dusuruldu
ERROR | RouteSegment(VFR) | LT_RS_VFR_0196 | reverseMagneticTrack | - | hatali_alan_dusuruldu
