tablo,fid,ident,data_originator,name,lat_dd,lon_dd
dme,1132,AST,EUROCONTROL NMOC,ASTRAKHAN,46.281194444444445,48.009166666666665
vor_dme,114,AST,EUROCONTROL NMOC,ASYUT,27.031222222222222,31.032416666666666
vor_dme,2240,AST,EUROCONTROL NMOC,ASTRAKHAN,46.281194444444445,48.009166666666665
dme,82,AT,EUROCONTROL NMOC,ALTA,69.98107856,23.35241631
dme,1133,AT,EUROCONTROL NMOC,ARTEMOVSKIY,57.342222222222226,61.925
dme,83,ATA,AVINOR ORGANISATION FOR EAD,ALTA,69.97758172,23.37181536
vor,110,ATA,AVINOR ORGANISATION FOR EAD,ALTA,69.97748689,23.37173658
dme,1486,AVE,EUROCONTROL NMOC,AVENAL,35.64697555555556,-119.97860555555556
vortac,131,AVE,EUROCONTROL NMOC,AVENAL,35.64697555555556,-119.97860555555556
ils_dme,367,AVS,ENAIRE,,43.56236111111111,-6.024583333333333
ils_gp,481,AVS,ENAIRE,,43.56224425,-6.024631416666667
ils_loc,506,AVS,ENAIRE,,43.567083333333336,-6.049472222222222
tacan,219,AYT,DHMI TURKIYE,ANTALYA,36.90922222222222,30.78977777777778
vor_dme,926,AYT,DHMI TURKIYE,ANTALYA,36.92080555555555,30.794472222222225
ils_dme,60,BA,CIVIL AVIATION AUTHORITY ISRAEL,,32.01808333333333,34.88919444444444
ils_gp,79,BA,CIVIL AVIATION AUTHORITY ISRAEL,,32.01808333333333,34.88919444444444
ils_loc,80,BA,CIVIL AVIATION AUTHORITY ISRAEL,,32.011694444444444,34.85325
dme,84,BA,EUROCONTROL NMOC,BANAK,70.05975725,24.97892317
dme,1135,BA,EUROCONTROL NMOC,BAKCHAR,57.0075,82.06055555555555
ils_dme,156,BAL,BHANSA (ANSP),,44.95012222222223,17.29675277777778
ils_gp,209,BAL,BHANSA (ANSP),,44.95012222222223,17.29675277777778
ils_loc,213,BAL,BHANSA (ANSP),,44.92783055555555,17.301008333333336
dme,1704,BAL,EUROCONTROL NMOC,B.A EL LIBERTADOR,10.18325,-67.5485
vor_dme,1245,BAL,EUROCONTROL NMOC,BALMACEDA,-45.91305555555555,-71.7125
vor_dme,1825,BAL,EUROCONTROL NMOC,B.A EL LIBERTADOR,10.18325,-67.5485
dme,763,BAM,EUROCONTROL NMOC,BAM,29.077472222222223,58.458333333333336
vor_dme,1801,BAM,EUROCONTROL NMOC,BARMEN,51.32775862,7.17698415
vor_dme,2011,BAM,EUROCONTROL NMOC,BAM,29.077472222222223,58.458333333333336
dme,1339,BAN,EUROCONTROL NMOC,BARAHONA,41.323484472222226,-2.6298926944444445
vor_dme,3,BAN,EUROCONTROL NMOC,SIDI BEN AOUN,34.863305555555556,9.16775
vor_dme,2378,BAN,EUROCONTROL NMOC,BARNAUL/MIKHAYLOVKA,53.373,83.57880555555555
dme,466,BAR,EUROCONTROL NMOC,BARI,41.14426289,16.77657586
dme,889,BAR,EUROCONTROL NMOC,BARUUN-URT,46.669999999999995,113.28583333333333
