ident,data_originator,type,adet,farkli_koordinat,tablolar,isimler
KA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KARRATHA,KASESE"
KAD,EUROCONTROL NMOC,DME,2,2,dme,"KADIS,KALDE"
KAD,EUROCONTROL NMOC,VORTAC,2,2,vortac,"KALDE,KADENA"
KAM,EUROCONTROL NMOC,VORTAC,2,2,vortac,"KHAMIS MUSHAIT / KING KHALED AIR BASE,KAMISHLY"
KAT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KATSINA,KATUNAYAKE"
KFR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KUFRA,WAFRA"
KHG,EUROCONTROL NMOC,DME,2,2,dme,"EL KHARGA,KHARK ISLAND"
KIS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KISH ISLAND,KISHI"
KLP,EUROCONTROL NMOC,DME,2,2,dme,"KLAIPEDA,KOLPASHEVO"
KMC,EUROCONTROL NMOC,VORTAC,2,2,vortac,"KING SAUD AIR BASE,KOMATSU"
KNA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KENANA,KAUNAS"
KO,EUROCONTROL NMOC,DME,2,2,dme,"KUUSAMO,KARMANOVO"
KOS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KOS,SIHANOUK"
KR,EUROCONTROL NMOC,DME,2,2,dme,"KIRKENES,KARUP"
KRD,EUROCONTROL NMOC,DME,2,2,dme,"KARDLA,KALININGRAD/KHRABROVO"
KRD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KHORAM ABAD,KALININGRAD/KHRABROVO"
KRS,EUROCONTROL NMOC,DME,2,2,dme,"KURESSAARE,TURKMENBASHI"
KRS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KRASNOYARSK,TURKMENBASHI"
KTG,EUROCONTROL NMOC,DME,2,2,dme,"KENG TUNG,HENGCHUN"
KTG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KENG TUNG,KETAPANG/RAHADI OESMAN"
KTM,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KHARTOUM,KATHMANDU"
KTN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PALMYRA,CHITA"
KUA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"KADUNA,KUWAIT"
KWL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"GUILIN,KIRKWALL"
LAM,EUROCONTROL NMOC,DME,2,2,dme,"LAMEZIA,LAMBOURNE"
LAM,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LAMBOURNE,LAMERD"
LAP,EUROCONTROL NMOC,DME,2,2,dme,"LA PRAZ,LA PAZ"
LAP,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LA PAZ,LAPA"
LAR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LA RIOJA,LAR"
LBN,EUROCONTROL NMOC,DME,2,2,dme,"TRAKSHI,CHELYABINSK/BALANDINO"
LBN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHELYABINSK/BALANDINO,LAIBIN"
LIB,EUROCONTROL NMOC,VORTAC,2,2,vortac,"LIBERIA,LIBERTY"
LJA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LODJA,LIJIANG"
LKN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LUCKNOW,LESHUKONSKOE"
LLC,EUROCONTROL NMOC,VORTAC,2,2,vortac,"LAOLIANGCANG,LOVELOCK"
LM,EUROCONTROL NMOC,DME,2,2,dme,"CHAPAYEVO,LOME / GNASSINGBE EYADEMA"
LOA,EUROCONTROL NMOC,VORTAC,2,2,vortac,"CALAMA,LEONA"
LON,EUROCONTROL NMOC,DME,2,2,dme,"LONGZHOU,LONDON"
LP,EUROCONTROL NMOC,DME,2,2,dme,"LAPPEENRANTA,CHULKOVO"
LT,SERVICE DE LINFORMATION AERONAUTIQUE,DME,2,2,"ils_dme,dme",NOUMEA LA TONTOUTA
LTO,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LORETO,NOUMEA LA TONTOUTA"
LYH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LYNCHBURG,LIUYANG"
MAH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MAISACH,BANDAR MAHSHAHR"
MAR,EUROCONTROL NMOC,DME,2,2,dme,"MARIE,MARIBOR"
MAV,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANDERA,MAUN"
MCT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANCHESTER,MUSCAT"
MGA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANAGUA,MAGALA"
MGR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MAGNITOGORSK,ESSAOUIRA / MOGADOR"
MH,EUROCONTROL NMOC,DME,2,2,dme,"MEHAMN,MIKHAYLOVSK"
MIA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANDALAY INTL,MILDURA"
MID,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MIDHURST,MERIDA"
MIL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MILOS,SORONG/DOMINE EDWARD OSOK"
MIS,EUROCONTROL NMOC,VORTAC,2,2,vortac,"MISRATA,MISAWA"
MK,EUROCONTROL NMOC,DME,2,2,dme,"MALKA,KRISTIANSTAD"
MKE,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MUKAWA,MERAUKE/MOPAH"
MKN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MIKONOS,MYITKYINA"
MKS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MEKNES,MAKASSAR/SULTAN HASANUDDIN"
MLD,EUROCONTROL NMOC,DME,2,2,dme,"MOLDAVA,MALAD CITY"
MLD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MALINDI,MALAD CITY"
MML,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANGALURU,MARSHALL"
MNA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"EL GOLEA,MINNA"
MNO,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANADO/SAM RATULANGI,SABETTA"
MNS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MINSK-2,MANAUS"
MNW,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MINERALNYYE VODY,YUZHNO-KURILSK/MENDELEYEVO"
MOF,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MAUMERE/FANSISKUS XAVERIUS SEDA,SAMARA/KURUMOCH"
MOL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MONTEBELLO,WARSZAWA/MODLIN"
MON,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MONASTIR,PUERTO MONTT"
MOV,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MOVEX,MONCLOVA"
MRB,EUROCONTROL NMOC,DME,2,2,dme,"MARABA,MURGAB"
MRB,EUROCONTROL NMOC,VORTAC,2,2,vortac,"MARABA,MARTINSBURG"
MS,EUROCONTROL NMOC,DME,2,2,dme,"MOSJOEN,MANIITSOQ"
MT,EUROCONTROL NMOC,VOR,2,2,vor,"TOAMASINA,MULTAN"
MTR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"METRO,MONTERIA"
MUN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MATURIN,MUAN"
MVE,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MONBETSU,MONTEVIDEO"
MZL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MANZHOULI,MANIZALES"
NA,EUROCONTROL NMOC,DME,2,2,dme,"NAMSOS,NIKOLAYEVSK-NA-AMURE"
NA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NAUSORI,NIKOLAYEVSK-NA-AMURE"
NEU,EUROCONTROL NMOC,TACAN,2,2,tacan,"NEUBURG,IWAKUNI"
NG,EUROCONTROL NMOC,DME,2,2,dme,"SHARANGA,GAELLIVARE"
NJL,EUROCONTROL NMOC,VORTAC,2,2,vortac,"LUKOU,KING ABDULAZIZ NAVAL BASE"
NK,EUROCONTROL NMOC,DME,2,2,dme,"NIKOLSKOYE,KRAMFORS"
NL,EUROCONTROL NMOC,DME,2,2,dme,"PONTA DELGADA,LYCKSELE"
NMA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BIMA/SULTAN MUHAMMAD SALAHUDIN,NAMANGAN"
NN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ENTEBBE,NADI"
NNK,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NUNUKAN,KEMEROVO"
NQ,EUROCONTROL NMOC,DME,2,2,dme,"NARSARSUAQ,KIRUNA"
NSH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NINGSHAN,NOSHAHR"
NTL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NATAL,LOSINJ"
NX,EUROCONTROL NMOC,DME,2,2,dme,"NERL,ARVIDSJAUR"
OST,EUROCONTROL NMOC,DME,2,2,dme,"OSTIA,OSTASZE"
PAZ,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"POZA RICA,LA PAZ"
PG,EUROCONTROL NMOC,DME,2,2,dme,"PRAHA/RUZYNE DME 30,PANJGUR"
PG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PORT GENTIL,PANJGUR"
PL,EUROCONTROL NMOC,DME,2,2,dme,"PALANA,POLINA OSIPENKO"
PMA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MADINAH/PRINCE MOHAMMAD BIN ABDULAZIZ INTL,AMBON/PATTIMURA"
PNZ,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PONZA,PENZA"
PO,EUROCONTROL NMOC,DME,2,2,dme,"PORI,POCHINOK"
POS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PIARCO,POSADAS"
PPN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"POPAYAN,PUNE"
PR,EUROCONTROL NMOC,DME,2,2,dme,"PRAHA/RUZYNE DME 24,PORTO"
PRA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PRASLIN,PRATAPGARH"
PRG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PARAGUANA,PERSIAN GULF"
PRT,EUROCONTROL NMOC,DME,2,2,dme,"PERETOLA,PORTO"
PRT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PORTO,PRISTINA"
PSD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PORT SAID,PORT SUDAN"
PT,SERVICE DE LINFORMATION AERONAUTIQUE,DME,2,2,"ils_dme,dme",
PTA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LA PLATA,PUERTO PLATA"
PTC,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PUERTO CARRENO,PONTECAGNANO"
PTH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PERTH,PHAN THIET"
PTS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PELOTAS,POTOSI"
PUL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PULA,PUCALLPA"
PUT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PHUKET,PUTNAM"
PWL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PUERTO WILLIAMS,PAWLING"
PZA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"PUERTO ESPERANZA,PUERTO CABEZAS"
RAV,EUROCONTROL NMOC,DME,2,2,dme,"RAND,RAS AL KHAIMAH"
RAV,EUROCONTROL NMOC,VORTAC,2,2,vortac,"RAS AL KHAIMAH,RAVINE"
RO,EUROCONTROL NMOC,DME,2,2,dme,"ROROS,ROVANIEMI"
ROA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ROATAN,ROANOKE"
ROS,EUROCONTROL NMOC,DME,2,2,dme,"ROTTERDAM/ROTTERDAM,ROSTOV-NA-DONU/PLATOV"
ROS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ROSARIO,ROSTOV-NA-DONU/PLATOV"
RST,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"RASHT,ROCHESTER"
SAB,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"SAINT ABBS,ASABA"
SAM,EUROCONTROL NMOC,DME,2,2,dme,"SAMPLA,SOUTHAMPTON"
SAU,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"SIAULIAI,SAUSALITO"
SB,EUROCONTROL NMOC,DME,2,2,dme,"SAMBAVA,STOCKHOLM/BROMMA"
SD,EUROCONTROL NMOC,DME,2,2,dme,"MAARIANHAMINA,BORLAENGE"
SDE,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"SANTIAGO DEL ESTERO,SENDAI"
SER,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"LA SERENA,SERGELEN"
